sourceNeuron;targetNeuron;w
37;46;0.34961414337158203
37;55;-0.047290775924921036
37;64;0.13227133452892303
37;2;-1.2216897010803223
37;11;0.8860346674919128
37;20;-0.35427698493003845
37;29;-0.08369553089141846
37;38;-0.039041973650455475
37;47;0.13130910694599152
37;56;0.9566145539283752
37;65;-1.6039881706237793
37;3;-0.4299941658973694
37;12;0.24871446192264557
37;21;0.2751075029373169
37;30;-0.18192222714424133
37;39;-0.16342653334140778
37;48;-0.6683715581893921
37;57;0.12008699774742126
37;66;0.5274137854576111
37;4;-0.08267902582883835
37;13;-0.16602873802185059
37;22;0.3645896911621094
37;31;-0.13452836871147156
37;40;0.05037250369787216
37;49;-0.4058443605899811
37;58;-0.01631038449704647
37;67;0.14988040924072266
37;5;-0.8681305646896362
37;14;-0.0016623828560113907
37;23;-0.00046532886335626245
37;32;-0.04236241802573204
37;41;-0.30970272421836853
37;50;-0.46391141414642334
37;59;0.1628551036119461
37;68;-0.29603099822998047
37;6;-0.3898262679576874
37;15;-0.8621273040771484
37;24;-0.14689350128173828
37;33;0.05325165390968323
37;42;0.311238557100296
37;51;-0.20548422634601593
37;60;-0.6295300126075745
37;69;0.05006865784525871
37;7;0.4522874057292938
37;16;0.14436578750610352
37;25;-0.11715671420097351
37;34;0.004168971907347441
37;43;0.4018048644065857
37;52;-0.0036035708617419004
37;61;-0.14611715078353882
37;70;0.362077534198761
37;8;-0.018606992438435555
37;17;1.5195449590682983
37;26;0.036466531455516815
37;35;-0.03406358137726784
37;44;-0.1336619257926941
37;53;0.8598394989967346
37;62;0.055297840386629105
37;71;-0.14149576425552368
38;1;0.48763275146484375
38;10;-0.5212715864181519
38;19;0.35698357224464417
38;28;-0.22249916195869446
38;37;-0.03900996223092079
38;46;-0.13928928971290588
38;55;0.28007954359054565
38;64;0.19153377413749695
38;2;-0.30312272906303406
38;11;0.0314924530684948
38;20;0.1136341542005539
38;29;-0.06983897089958191
38;38;0.006527365650981665
38;47;0.34961414337158203
38;56;-0.047290775924921036
38;65;0.13227133452892303
38;4;-0.4299941658973694
38;13;0.24871446192264557
38;22;0.2751075029373169
38;31;-0.18192222714424133
38;40;-0.16342653334140778
